2.33	0.0
2.34	0.45
2.37	0.56
2.51	0.65
2.65	0.76
2.76	0.92
2.96	1.07
3.2	1.21
3.43	1.36
3.64	1.5
3.92	1.65
4.14	1.78
4.33	1.91
4.5	2.08
4.75	2.27
5.0	2.42
5.23	2.59
5.45	2.81
5.75	2.96
5.97	3.1
6.17	3.25
6.36	3.43
6.61	3.67
6.89	3.85
7.14	4.01
7.36	4.23
7.64	4.42
7.88	4.55
8.11	4.73
8.3	4.94
8.53	5.16
8.77	5.36
9.03	5.56
9.25	5.78
9.51	5.96
9.77	6.11
9.99	6.3
10.19	6.54
10.45	6.75
10.73	6.96
11.02	7.2
11.3	7.39
11.57	7.56
11.82	7.72
12.07	7.92
12.29	8.16
12.59	8.39
12.88	8.57
13.18	8.79
13.48	9.03
13.81	9.22
14.12	9.36
14.37	9.62
14.63	9.88
14.97	10.11
15.34	10.31
15.69	10.54
15.99	10.75
16.36	10.97
16.71	11.17
17.0	11.38
17.28	11.59
17.65	11.86
18.04	12.09
18.41	12.3
18.75	12.58
19.17	12.79
19.55	12.96
19.86	13.16
20.12	13.4
20.54	13.65
20.94	13.9
21.3	14.19
21.65	14.44
22.07	14.68
22.47	14.89
22.79	15.12
23.05	15.41
23.42	15.72
23.86	15.96
24.28	16.22
24.63	16.52
25.06	16.78
25.43	17.01
25.74	17.29
26.02	17.56
26.43	17.86
26.81	18.18
27.21	18.48
27.57	18.76
27.96	19.04
28.35	19.28
28.67	19.57
28.92	19.9
29.27	20.21
29.65	20.48
30.01	20.82
30.33	21.18
30.76	21.48
31.09	21.75
31.39	22.09
31.65	22.45
32.01	22.81
32.38	23.16
32.72	23.54
33.02	23.88
33.41	24.2
33.77	24.51
34.08	24.86
34.33	25.24
34.68	25.61
35.03	25.95
35.37	26.3
35.71	26.71
36.1	27.05
36.45	27.31
36.77	27.66
37.01	28.09
37.38	28.47
37.75	28.83
38.13	29.26
38.48	29.65
38.92	29.96
39.28	30.25
39.6	30.56
39.87	30.96
40.28	31.36
40.69	31.67
41.09	32.05
41.44	32.46
41.89	32.79
42.28	33.08
42.63	33.38
42.92	33.8
43.34	34.26
43.78	34.62
44.23	35.08
44.61	35.5
45.05	35.85
45.47	36.15
45.83	36.52
46.12	36.97
46.54	37.4
46.98	37.76
47.42	38.23
47.82	38.66
48.28	39.05
48.64	39.37
49.0	39.79
49.27	40.27
49.69	40.78
50.15	41.19
50.58	41.65
50.93	42.08
51.43	42.47
51.85	42.83
52.15	43.26
52.42	43.77
52.85	44.26
53.25	44.69
53.64	45.15
53.96	45.62
54.4	46.05
54.78	46.4
55.08	46.85
55.33	47.34
55.71	47.84
56.1	48.27
56.5	48.73
56.89	49.18
57.36	49.58
57.74	49.93
58.07	50.34
58.34	50.82
58.74	51.31
59.11	51.72
59.51	52.17
59.86	52.64
60.28	53.03
60.63	53.39
60.93	53.83
61.19	54.3
61.59	54.83
61.96	55.25
62.3	55.72
62.66	56.2
63.11	56.61
63.45	56.91
63.72	57.3
63.97	57.77
64.35	58.25
64.7	58.63
65.04	59.04
65.37	59.46
65.79	59.85
66.1	60.16
66.38	60.55
66.6	61.0
66.94	61.44
67.3	61.82
67.65	62.2
67.95	62.55
68.36	62.88
68.69	63.17
68.95	63.49
69.18	63.85
69.51	64.24
69.82	64.57
70.12	64.91
70.44	65.22
70.8	65.53
71.08	65.77
71.28	66.05
71.48	66.37
71.82	66.7
72.12	66.97
72.41	67.25
72.66	67.5
72.99	67.73
73.26	67.92
73.49	68.13
73.69	68.35
73.97	68.57
74.21	68.73
74.44	68.93
74.66	69.12
74.93	69.25
75.19	69.38
75.41	69.5
75.53	69.64
75.77	69.75
75.98	69.82
76.2	69.93
76.34	70.02
76.57	70.09
76.72	70.08
76.84	70.08
76.94	70.11
77.12	70.12
77.23	70.12
77.32	70.11
77.41	70.05
77.57	69.99
77.65	69.94
77.69	69.86
77.72	69.76
77.81	69.62
77.86	69.49
77.87	69.33
77.89	69.16
77.93	69.01
77.91	68.85
77.9	68.61
77.82	68.36
77.78	68.1
77.71	67.84
77.62	67.56
77.54	67.24
77.43	66.94
77.3	66.64
77.14	66.3
76.97	65.89
76.83	65.44
76.65	65.02
76.43	64.59
76.21	64.14
75.94	63.73
75.65	63.35
75.4	62.86
75.17	62.31
74.86	61.77
74.52	61.26
74.15	60.68
73.83	60.13
73.41	59.61
73.0	59.12
72.61	58.55
72.3	57.89
71.89	57.23
71.43	56.65
70.93	56.05
70.47	55.44
69.91	54.86
69.41	54.35
68.94	53.77
68.5	53.13
67.94	52.5
67.42	51.93
66.85	51.29
66.32	50.72
65.69	50.14
65.12	49.62
64.57	49.04
64.11	48.39
63.55	47.68
62.9	47.06
62.24	46.38
61.65	45.74
60.94	45.13
60.25	44.55
59.64	43.9
59.09	43.21
58.45	42.51
57.79	41.88
57.09	41.23
56.52	40.63
55.8	40.1
55.14	39.59
54.56	38.98
54.03	38.38
53.47	37.73
52.78	37.14
52.12	36.55
51.57	36.06
50.8	35.59
50.17	35.18
49.62	34.72
49.11	34.24
48.54	33.76
47.96	33.36
47.3	32.95
46.73	32.55
46.08	32.19
45.53	31.9
44.94	31.53
44.49	31.13
43.92	30.75
43.32	30.43
42.72	30.1
42.12	29.78
41.42	29.48
40.75	29.22
40.1	28.93
39.54	28.62
38.82	28.34
38.05	28.05
37.23	27.74
36.47	27.48
35.57	27.26
34.77	27.03
34.11	26.79
33.55	26.55
32.96	26.28
32.39	26.05
31.84	25.84
31.38	25.62
30.87	25.4
30.4	25.23
29.98	25.04
29.65	24.84
29.3	24.62
28.96	24.44
28.62	24.24
28.32	24.06
27.96	23.91
27.6	23.79
27.32	23.61
27.12	23.41
26.86	23.23
26.58	23.09
26.3	22.95
26.08	22.81
25.83	22.71
25.56	22.61
25.33	22.54
25.16	22.49
24.97	22.4
24.82	22.35
24.7	22.32
24.64	22.28
24.58	22.24
24.53	22.19
24.48	22.16
24.45	22.14
24.46	22.13
24.49	22.13
24.51	22.11
24.53	22.12
24.55	22.12
24.57	22.1
24.64	22.12
24.66	22.13
24.72	22.16
24.81	22.22
24.87	22.24
24.92	22.3
25.04	22.36
25.13	22.43
25.22	22.5
25.29	22.6
25.41	22.74
25.56	22.86
25.71	22.99
25.83	23.12
26.03	23.24
26.18	23.34
26.33	23.53
26.46	23.72
26.69	23.9
26.89	24.09
27.06	24.33
27.25	24.52
27.53	24.71
27.76	24.91
27.99	25.13
28.16	25.42
28.42	25.76
28.75	26.03
29.14	26.36
29.51	26.7
30.05	27.04
30.6	27.36
31.14	27.78
31.57	28.27
32.24	28.76
32.95	29.25
33.76	29.82
34.48	30.38
35.4	30.92
36.28	31.41
37.09	31.99
37.7	32.69
38.57	33.45
39.54	34.1
40.51	34.8
41.35	35.46
42.47	36.13
43.43	36.72
44.31	37.44
45.01	38.21
45.95	39.04
46.96	39.8
48.0	40.6
48.91	41.4
50.05	42.16
51.05	42.77
51.93	43.59
52.6	44.5
53.56	45.47
54.6	46.33
55.68	47.22
56.65	48.07
57.74	48.88
58.73	49.58
59.69	50.49
60.3	51.48
61.34	52.54
62.39	53.45
63.4	54.41
64.3	55.32
65.38	56.21
66.47	56.97
67.38	57.92
68.0	59.0
69.01	60.15
70.03	61.15
71.09	62.24
72.05	63.24
73.11	64.21
73.97	65.07
74.81	66.13
75.48	67.3
76.49	68.57
77.53	69.67
78.57	70.86
79.42	71.94
80.59	73.03
81.69	74.01
82.57	75.16
83.31	76.43
84.32	77.77
85.4	78.95
86.54	80.24
87.47	81.43
88.61	82.59
89.62	83.61
90.46	84.88
91.12	86.26
92.13	87.66
93.2	88.93
94.27	90.36
95.21	91.69
96.4	92.94
97.5	94.09
98.43	95.48
99.14	96.97
100.18	98.61
101.33	100.02
102.47	101.47
103.45	102.86
104.72	104.23
105.84	105.45
106.81	106.95
107.56	108.62
108.62	110.35
109.81	111.89
110.97	113.51
111.97	114.8
113.25	115.45
114.4	115.78
null
null
